epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2044.75,0.55398,1.08768,0.9128,0.7035,0.71006,0.76524,0.66402,0.6103,1.00715,0.87754,9.26796e-05,9.26796e-05,9.26796e-05
43,2091.79,0.57152,1.10431,0.90846,0.67036,0.77155,0.76825,0.66476,0.60863,0.99181,0.87578,9.11352e-05,9.11352e-05,9.11352e-05
44,2137.74,0.56333,1.07984,0.91567,0.70254,0.75505,0.77486,0.66972,0.6111,0.97163,0.8788,8.95908e-05,8.95908e-05,8.95908e-05
45,2183.57,0.5473,1.07364,0.90558,0.6776,0.76811,0.77235,0.67405,0.60284,0.97339,0.87638,8.80464e-05,8.80464e-05,8.80464e-05
46,2229.34,0.53963,1.0462,0.90679,0.6627,0.81628,0.78534,0.67792,0.61356,0.95418,0.87799,8.6502e-05,8.6502e-05,8.6502e-05
47,2275.05,0.53383,1.04275,0.91326,0.70813,0.73362,0.77124,0.66878,0.6137,0.94867,0.88052,8.49576e-05,8.49576e-05,8.49576e-05
48,2320.91,0.5433,1.04062,0.90794,0.71364,0.78209,0.80773,0.69943,0.6118,0.95738,0.8779,8.34132e-05,8.34132e-05,8.34132e-05
49,2366.41,0.54436,1.02045,0.90608,0.73943,0.78385,0.81481,0.70619,0.60441,0.93628,0.87312,8.18688e-05,8.18688e-05,8.18688e-05
50,2412.08,0.54555,1.02797,0.90226,0.74339,0.78979,0.82126,0.71192,0.60634,0.91308,0.8723,8.03244e-05,8.03244e-05,8.03244e-05
51,2458.13,0.53448,0.99915,0.90033,0.6892,0.78144,0.80062,0.6949,0.59719,0.92302,0.87083,7.878e-05,7.878e-05,7.878e-05
52,2504.03,0.5377,1.0064,0.90533,0.71589,0.80977,0.83042,0.72214,0.60124,0.90416,0.87432,7.72356e-05,7.72356e-05,7.72356e-05
53,2549.73,0.53456,0.99587,0.90248,0.75036,0.7708,0.82055,0.71063,0.60965,0.91258,0.8732,7.56912e-05,7.56912e-05,7.56912e-05
54,2595.45,0.53393,0.98083,0.89879,0.7366,0.78168,0.80833,0.70824,0.58899,0.90445,0.86928,7.41468e-05,7.41468e-05,7.41468e-05
55,2641.3,0.52253,0.95788,0.89962,0.75269,0.78985,0.81833,0.71104,0.59688,0.89238,0.87065,7.26024e-05,7.26024e-05,7.26024e-05
56,2686.88,0.5254,0.97118,0.90703,0.74062,0.79298,0.8184,0.70969,0.60393,0.88294,0.87203,7.1058e-05,7.1058e-05,7.1058e-05
57,2732.53,0.53405,0.95818,0.89977,0.75169,0.78059,0.82556,0.71289,0.60336,0.88218,0.87082,6.95136e-05,6.95136e-05,6.95136e-05
